,Macro-F1,Strict-Macro-F1,Retrieval_Method,Verifier_Method,DS_Settings,Time (s)
0,0.6702380952380952,0.664647377938517,rerank-nv-embed-v1,llama3-8b,nopre-nonam-nobio,0.007634162902832031
1,0.754722754363559,0.7434352764094143,rerank-nv-embed-v1,llama3-70b,nopre-nonam-nobio,0.007509946823120117
2,0.32232142857142854,0.32232142857142854,rerank-nv-embed-v1,transformers-roberta,nopre-nonam-nobio,0.008017778396606445
3,0.283467985846985,0.27508492247670935,rerank-nv-embed-v1,transformers-bart,nopre-nonam-nobio,0.008035898208618164
4,0.803897020561884,0.7953602146295272,rerank-nv-embed-v1,openai-4o-mini,nopre-nonam-nobio,0.010043144226074219
5,0.8502435957881502,0.8423761423761423,rerank-nv-embed-v1,openai-4o,nopre-nonam-nobio,0.008026838302612305
6,0.6280111820017923,0.61613432624308,rerank-nv-embed-v1,llama3-8b,pre-nam-bio,0.010030031204223633
7,0.6290766520400201,0.619151093727365,rerank-nv-embed-v1,llama3-70b,pre-nam-bio,4338.367209434509
8,0.26451641345258364,0.26451641345258364,rerank-nv-embed-v1,transformers-roberta,pre-nam-bio,115.39186239242554
9,0.27071944252956487,0.27071944252956487,rerank-nv-embed-v1,transformers-bart,pre-nam-bio,200.26750373840332
10,0.7817887712466026,0.7687416331994644,rerank-nv-embed-v1,openai-4o-mini,pre-nam-bio,1830.5558743476868
11,0.8585232166627516,0.8504701776818774,rerank-nv-embed-v1,openai-4o,pre-nam-bio,1826.7349338531494
