,R5,MAP,Retrieval_Method,DS_Settings,Time (s)
0,0.7214035087719297,0.6453508771929825,bm25,pre-nonam-nobio,0.46873927116394043
1,0.44912280701754387,0.32280701754385965,ollama,pre-nonam-nobio,341.438588142395
2,0.7101754385964911,0.6414619883040936,openai,pre-nonam-nobio,43.710936307907104
3,0.6642105263157895,0.5380409356725145,sent-transformers-hf,pre-nonam-nobio,68.46239399909973
4,0.683859649122807,0.5974736842105264,sent-transformers-local,pre-nonam-nobio,5.22063946723938
5,0.7017543859649122,0.5909356725146199,crossencoder,pre-nonam-nobio,172.34804940223694
6,0.7235087719298245,0.6261403508771931,tfidf,pre-nonam-nobio,0.22872591018676758
7,0.7673684210526316,0.6697894736842105,bm25,pre-nam-bio,0.6141436100006104
8,0.32210526315789473,0.23385964912280702,ollama,pre-nam-bio,401.7600827217102
9,0.7080701754385965,0.6282456140350877,openai,pre-nam-bio,50.83117318153381
10,0.5347368421052632,0.49394736842105263,sent-transformers-hf,pre-nam-bio,108.10959887504578
11,0.6859649122807018,0.6004385964912281,sent-transformers-local,pre-nam-bio,5.804895401000977
12,0.6621052631578946,0.5703742690058479,crossencoder,pre-nam-bio,224.391450881958
13,0.6817543859649122,0.6363508771929824,tfidf,pre-nam-bio,0.2760481834411621
14,0.6687719298245615,0.6085087719298246,bm25,nopre-nonam-nobio,0.4985079765319824
15,0.5105263157894736,0.42894736842105263,ollama,nopre-nonam-nobio,377.56847739219666
16,0.7473684210526316,0.6742690058479531,openai,nopre-nonam-nobio,47.405012130737305
17,0.64,0.5427777777777778,sent-transformers-hf,nopre-nonam-nobio,103.54310178756714
18,0.6859649122807018,0.6464912280701754,sent-transformers-local,nopre-nonam-nobio,5.582420110702515
19,0.631578947368421,0.5755847953216374,crossencoder,nopre-nonam-nobio,309.9687931537628
20,0.6687719298245615,0.593157894736842,tfidf,nopre-nonam-nobio,0.2411024570465088
21,0.7673684210526316,0.6303157894736842,bm25,nopre-nam-bio,0.6792631149291992
22,0.4382456140350877,0.3328538011695907,ollama,nopre-nam-bio,461.0803921222687
23,0.7080701754385965,0.6181578947368421,openai,nopre-nam-bio,59.82346725463867
24,0.6508771929824562,0.5834795321637426,sent-transformers-hf,nopre-nam-bio,151.31900000572205
25,0.6859649122807018,0.620906432748538,sent-transformers-local,nopre-nam-bio,7.574176073074341
26,0.572280701754386,0.5257602339181286,crossencoder,nopre-nam-bio,516.585640668869
27,0.6796491228070176,0.6139473684210526,tfidf,nopre-nam-bio,0.31079912185668945
